id,link,operation,address,size,dorms,toilets,garage,price,additional_costs
2639823011.0,https://www.vivareal.com.br/imovel/sala-comercial-itaim-bibi-sao-paulo-com-garagem-120m2-aluguel-RS12500-id-2639823011/,renting,"Rua Bandeira Paulista - Itaim Bibi, São Paulo",120 m²,,2,3,R$ 12.500/mês,Cond. R$ 2.350 • IPTU R$ 979
2658611986.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-429m2-aluguel-RS21453-id-2658611986/,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",429 m²,,8,10,R$ 21.453/mês,Cond. R$ 1.900 • IPTU R$ 1.001
2591221207.0,https://www.vivareal.com.br/imovel/sala-comercial-indianopolis-sao-paulo-com-garagem-128m2-aluguel-RS16500-id-2591221207/,renting,"Avenida Jandira - Indianópolis, São Paulo",128 m²,,3,3,R$ 16.500/mês,Cond. R$ 4.080 • IPTU R$ 990
2792076016.0,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-santa-catarina-sao-paulo-com-garagem-49m2-venda-RS545000-id-2792076016/,renting,"Rua Doutor Djalma Pinheiro Franco - Vila Santa Catarina, São Paulo",49 m²,1,1,1,R$ 3.500/mês,Cond. R$ 366
2662665960.0,https://www.vivareal.com.br/imovel/imovel-comercial-chacara-inglesa-sao-paulo-com-garagem-25m2-aluguel-RS1300-id-2662665960/,renting,"Rua Correia de Lemos - Chácara Inglesa, São Paulo",25 m²,,,1,R$ 1.300/mês,IPTU R$ 82
2715567209.0,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-andrade-sao-paulo-com-garagem-168m2-aluguel-RS8000-id-2715567209/,renting,"Rua Francisco Pessoa - Vila Andrade, São Paulo",168 m²,3,5,3,R$ 8.000/mês,Cond. R$ 1.329 • IPTU R$ 665
2710390037.0,https://www.vivareal.com.br/imovel/sala-comercial-santana-sao-paulo-40m2-aluguel-RS1200-id-2710390037/,renting,"Rua Henrique Bernardelli - Santana, São Paulo",40 m²,,,,R$ 1.200/mês,Cond. R$ 940
2615670114.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-sao-francisco-zona-sul-sao-paulo-com-garagem-201m2-aluguel-RS16002-id-2615670114/,renting,"Rua Enxovia - Vila São Francisco (Zona Sul), São Paulo",201 m²,,4,4,R$ 16.002/mês,Cond. R$ 2.201 • IPTU R$ 1.400
2682844089.0,https://www.vivareal.com.br/imovel/sala-comercial-1-quartos-vila-clementino-sao-paulo-com-garagem-44m2-aluguel-RS2400-id-2682844089/,renting,"Rua Borges Lagoa - Vila Clementino, São Paulo",44 m²,1,2,1,R$ 2.400/mês,Cond. R$ 796 • IPTU R$ 206
2630647609.0,https://www.vivareal.com.br/imovel/sala-comercial-sumarezinho-sao-paulo-com-garagem-218m2-aluguel-RS24000-id-2630647609/,renting,"Rua Senador César Lacerda Vergueiro - Sumarezinho, São Paulo",218 m²,,2,3,R$ 24.000/mês,Cond. R$ 2.000 • IPTU R$ 1.000
2639824482.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-106m2-aluguel-RS10000-id-2639824482/,renting,"Rua Funchal - Vila Olímpia, São Paulo",106 m²,,2,4,R$ 10.000/mês,Cond. R$ 3.450 • IPTU R$ 1.007
2651385056.0,https://www.vivareal.com.br/imovel/sala-comercial-itaim-bibi-sao-paulo-com-garagem-190m2-aluguel-RS14251-id-2651385056/,renting,"Rua Iguatemi - Itaim Bibi, São Paulo",190 m²,,4,5,R$ 14.251/mês,Cond. R$ 1.900 • IPTU R$ 1.330
2790526929.0,https://www.vivareal.com.br/imovel/sala-comercial-mooca-sao-paulo-com-garagem-47m2-aluguel-RS2500-id-2790526929/,renting,"Rua Borges de Figueiredo - Mooca, São Paulo",47 m²,,1,1,R$ 2.500/mês,Cond. R$ 1.166 • IPTU R$ 361
2482585017.0,https://www.vivareal.com.br/imovel/sala-comercial-itaim-bibi-zona-sul-sao-paulo-com-garagem-852m2-aluguel-RS98000-id-2482585017/,renting,"Avenida Presidente Juscelino Kubitschek - Vila Nova Conceição, São Paulo",852 m²,,10,26,R$ 98.000/mês,Cond. R$ 17.901 • IPTU R$ 17.910
2743149407.0,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-25m2-aluguel-RS3000-id-2743149407/,renting,"Rua Frei Caneca - Consolação, São Paulo",25 m²,1,1,,R$ 3.000/mês,Cond. R$ 425
