id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,features,type,street,neighborhood,city,state,latitude,longitude
2710737301,https://www.vivareal.com.br/imovel/sobrado-3-quartos-alto-da-boa-vista-zona-sul-sao-paulo-com-garagem-140m2-venda-RS680000-id-2710737301/,"Casa com 3 Quartos à Venda, 140m²",selling,"Alto Da Boa Vista, São Paulo - SP",140,3,2,2,680000,0,,Casa,Alto Da Boa Vista,Alto Da Boa Vista,São Paulo,SP,-23.6416337,-46.6994196
2713588934,https://www.vivareal.com.br/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-180m2-venda-RS3663000-id-2713588934/,"Apartamento com 3 Quartos à Venda, 180m²",selling,"Itaim Bibi, São Paulo - SP",180,3,4,2,3663000,1600,Garagem,Apartamento,Itaim Bibi,Itaim Bibi,São Paulo,SP,-23.5843807,-46.6784441
2736840727,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-106m2-venda-RS1449970-id-2736840727/,"Apartamento com 2 Quartos à Venda, 106m²",selling,"Rua Jesuíno Arruda, 298 - Itaim Bibi, São Paulo - SP",106,2,2,1,1449970,1900,"Churrasqueira, Salão de festas, Aceita animais",Apartamento,Rua Jesuíno Arruda,Itaim Bibi,São Paulo,SP,-23.5843807,-46.6784441
2735929326,https://www.vivareal.com.br/imovel/apartamento-1-quartos-liberdade-centro-sao-paulo-com-garagem-37m2-venda-RS290000-id-2735929326/,"Apartamento com Quarto à Venda, 37m²",selling,"Rua Galvão Bueno - Liberdade, São Paulo - SP",37,1,1,1,290000,1200,Garagem,Apartamento,Rua Galvão Bueno,Liberdade,São Paulo,SP,-23.5666009,-46.6318034
2729397742,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-arpoador-zona-oeste-zona-oeste-sao-paulo-com-garagem-91m2-venda-RS850000-id-2729397742/,"Apartamento com 2 Quartos à Venda, 91m²",selling,"Rodovia Raposo Tavares, 7389 - Jardim Arpoador Zona Oeste, São Paulo - SP",91,2,2,2,850000,750,,Apartamento,Rodovia Raposo Tavares,Jardim Arpoador Zona Oeste,São Paulo,SP,-23.5475,-46.63611
2696838487,https://www.vivareal.com.br/imovel/sobrado-3-quartos-vila-itaberaba-zona-norte-sao-paulo-com-garagem-215m2-venda-RS490000-id-2696838487/,"Casa com 3 Quartos à Venda, 215m²",selling,"Rua do Farol - Vila Itaberaba, São Paulo - SP",215,3,2,2,490000,0,"Cozinha, Área de serviço, Quintal",Casa,Rua do Farol,Vila Itaberaba,São Paulo,SP,-23.4863496,-46.693237
2732168216,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-53m2-venda-RS668000-id-2732168216/,"Apartamento com 2 Quartos à Venda, 53m²",selling,"Rua Conde de Irajá, 150 - Vila Mariana, São Paulo - SP",53,2,2,1,668000,760,"Garagem, Segurança 24h",Apartamento,Rua Conde de Irajá,Vila Mariana,São Paulo,SP,-23.5837,-46.6327408
2735928725,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-paulo-zona-norte-zona-norte-sao-paulo-com-garagem-56m2-venda-RS580000-id-2735928725/,"Apartamento com 2 Quartos à Venda, 56m²",selling,"Rua Capitão Rabelo - Jardim São Paulo Zona Norte, São Paulo - SP",56,2,2,1,580000,890,Garagem,Apartamento,Rua Capitão Rabelo,Jardim São Paulo Zona Norte,São Paulo,SP,-23.5475,-46.63611
2732408814,https://www.vivareal.com.br/imovel/apartamento-3-quartos-liberdade-centro-sao-paulo-com-garagem-187m2-venda-RS1450000-id-2732408814/,"Apartamento com 3 Quartos à Venda, 187m²",selling,"Rua Júpiter, 265 - Liberdade, São Paulo - SP",187,3,3,3,1450000,2623,"Churrasqueira, Garagem, Salão de festas, Piscina",Apartamento,Rua Júpiter,Liberdade,São Paulo,SP,-23.5666009,-46.6318034
2703119576,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-esperanca-zona-leste-sao-paulo-com-garagem-33m2-venda-RS265000-id-2703119576/,"Apartamento com 2 Quartos à Venda, 33m²",selling,"Vila Esperança, São Paulo - SP",33,2,1,1,265000,150,"Elevador, Interfone, Sistema de alarme, Área de serviço, Aceita animais",Apartamento,Vila Esperança,Vila Esperança,São Paulo,SP,-23.5293046,-46.5166401
2491848954,https://www.vivareal.com.br/imovel/sobrado-4-quartos-jardim-guedala-zona-sul-sao-paulo-com-garagem-630m2-venda-RS3500000-id-2491848954/,"Casa com 4 Quartos à Venda, 630m²",selling,"Jardim Guedala, São Paulo - SP",630,4,6,4,3500000,0,,Casa,Jardim Guedala,Jardim Guedala,São Paulo,SP,-23.5873828,-46.717648
