id,page_id,scrapping_date,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,features,type,street,neighborhood,city,state,latitude,longitude
175,2736171917,27-09-2024,https://www.vivareal.com.br/imovel/casa-3-quartos-vila-madalena-zona-oeste-sao-paulo-com-garagem-245m2-aluguel-RS9000-id-2736171917/,"Casa com 3 Quartos para Aluguel, 245m²",renting,"Rua Capote Valente - Vila Madalena, São Paulo - SP",245,3,4,2,9000,0,"Quintal, Aceita animais",Casa,Rua Capote Valente,Vila Madalena,São Paulo,SP,-23.5464956,-46.6911243
176,2739395879,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-imirim-zona-norte-sao-paulo-com-garagem-50m2-aluguel-RS1990-id-2739395879/,"Apartamento com 2 Quartos para Aluguel, 50m²",renting,"Avenida Engenheiro Caetano Álvares - Imirim, São Paulo - SP",50,2,1,1,1990,742,"Elevador, Interfone, Piscina",Apartamento,Avenida Engenheiro Caetano Álvares,Imirim,São Paulo,SP,-23.4910951,-46.6470601
177,2741232364,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-alpina-zona-leste-sao-paulo-com-garagem-39m2-aluguel-RS1500-id-2741232364/,"Apartamento com 2 Quartos para Aluguel, 39m²",renting,"Vila Alpina, São Paulo - SP",39,2,1,1,1500,152,"Churrasqueira, Cozinha, Interfone, Área de serviço",Apartamento,Vila Alpina,Vila Alpina,São Paulo,SP,-23.6523709,-46.5416844
178,2716677177,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-martins-silva-zona-norte-sao-paulo-com-garagem-50m2-aluguel-RS1200-id-2716677177/,"Apartamento com 2 Quartos para Aluguel, 50m²",renting,"Rua Antônio Quintiliano, 99 - Jardim Martins Silva, São Paulo - SP",50,2,1,1,1200,350,,Apartamento,Rua Antônio Quintiliano,Jardim Martins Silva,São Paulo,SP,-22.98861,-47.97083
179,2712597305,27-09-2024,https://www.vivareal.com.br/imovel/sobrado-4-quartos-jardim-leonor-mendes-de-barros-zona-norte-sao-paulo-com-garagem-120m2-aluguel-RS7300-id-2712597305/,"Casa com 4 Quartos para Aluguel, 120m²",renting,"Rua José Martins Borges, 168 - Jardim Leonor Mendes de Barros, São Paulo - SP",120,4,1,4,7300,0,,Casa,Rua José Martins Borges,Jardim Leonor Mendes de Barros,São Paulo,SP,-23.4662424,-46.6106314
180,2744802201,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-4-quartos-chacara-santo-antonio-zona-sul-zona-sul-sao-paulo-com-garagem-240m2-venda-RS2600000-id-2744802201/,Apartamento com 4 Quartos para Venda/Aluguel 240m²,renting,"Rua Fernandes Moreira - Chácara Santo Antônio Zona Sul, São Paulo - SP",240,4,6,3,8314,2527,"Piscina, Playground, Salão de festas, Sauna, Jardim",Apartamento,Rua Fernandes Moreira,Chácara Santo Antônio Zona Sul,São Paulo,SP,-23.6277608,-46.7054657
181,2567124335,27-09-2024,https://www.vivareal.com.br/imovel/casa-4-quartos-chacara-inglesa-zona-sul-sao-paulo-com-garagem-250m2-venda-RS1100000-id-2567124335/,Casa com 4 Quartos para Venda/Aluguel 250m²,renting,"Rua Doutor João Batista Bernardes de Lima, 422 - Chácara Inglesa, São Paulo - SP",250,4,4,3,5200,0,"Cozinha, Aceita animais",Casa,Rua Doutor João Batista Bernardes de Lima,Chácara Inglesa,São Paulo,SP,-23.608307,-46.6323198
182,2717080538,27-09-2024,https://www.vivareal.com.br/imovel/casa-4-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-185m2-aluguel-RS9000-id-2717080538/,"Casa com 4 Quartos para Aluguel, 185m²",renting,"Rua Francisco Iasi - Pinheiros, São Paulo - SP",185,4,2,2,9000,0,,Casa,Rua Francisco Iasi,Pinheiros,São Paulo,SP,-23.5672842,-46.701939
183,2534810047,27-09-2024,https://www.vivareal.com.br/imovel/casa-3-quartos-limao-zona-norte-sao-paulo-com-garagem-272m2-venda-RS1300000-id-2534810047/,Casa com 3 Quartos para Venda/Aluguel 272m²,renting,"Rua Cônego Araújo Marcondes - Limão, São Paulo - SP",272,3,4,5,8000,0,,Casa,Rua Cônego Araújo Marcondes,Limão,São Paulo,SP,-23.5033149,-46.6752722
184,2518120938,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-1-quartos-morumbi-zona-sul-sao-paulo-com-garagem-42m2-aluguel-RS2100-id-2518120938/,"Apartamento com Quarto para Aluguel, 42m²",renting,"Morumbi, São Paulo - SP",42,1,1,1,2100,570,Garagem,Apartamento,Morumbi,Morumbi,São Paulo,SP,-23.5964988,-46.7178446
185,2726471543,27-09-2024,https://www.vivareal.com.br/imovel/imovel-comercial-3-quartos-santana-zona-norte-sao-paulo-com-garagem-150m2-aluguel-RS3500-id-2726471543/,"Casa com 3 Quartos para Aluguel, 150m²",renting,"Rua Crixás, 84 - Santana, São Paulo - SP",150,3,3,2,3500,0,"Quintal, Edícula, Aceita animais",Casa,Rua Crixás,Santana,São Paulo,SP,-23.499321,-46.6289326
186,2739853068,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-1-quartos-liberdade-centro-sao-paulo-com-garagem-39m2-aluguel-RS1900-id-2739853068/,"Apartamento com Quarto para Aluguel, 39m²",renting,"Rua da Glória, 493 - Liberdade, São Paulo - SP",39,1,1,1,1900,725,"Elevador, Portaria 24h",Apartamento,Rua da Glória,Liberdade,São Paulo,SP,-23.5666009,-46.6318034
188,2714987111,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-america-zona-sul-sao-paulo-com-garagem-105m2-venda-RS1450000-id-2714987111/,Apartamento com 3 Quartos para Venda/Aluguel 105m²,renting,"Alameda Casa Branca - Jardim América, São Paulo - SP",105,3,3,1,4500,1750,"Cozinha, Elevador, Interfone, Quadra poliesportiva, Área de serviço",Apartamento,Alameda Casa Branca,Jardim América,São Paulo,SP,-23.2314929,-45.8979756
189,2742390868,27-09-2024,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-guarani-zona-sul-zona-sul-sao-paulo-com-garagem-50m2-aluguel-RS1300-id-2742390868/,"Casa com Quarto para Aluguel, 50m²",renting,"Vila Guarani Zona Sul, São Paulo - SP",50,1,1,1,1300,0,,Casa,Vila Guarani Zona Sul,Vila Guarani Zona Sul,São Paulo,SP,-23.5475,-46.63611
190,2744812793,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-95m2-aluguel-RS6500-id-2744812793/,"Apartamento com 3 Quartos para Aluguel, 95m²",renting,"Pinheiros, São Paulo - SP",95,3,3,2,6500,1665,,Apartamento,Pinheiros,Pinheiros,São Paulo,SP,-23.5672842,-46.701939
191,2739678616,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ipiranga-zona-sul-sao-paulo-com-garagem-50m2-aluguel-RS3800-id-2739678616/,"Apartamento com 2 Quartos para Aluguel, 50m²",renting,"Rua Coronel Domingos Ferreira - Ipiranga, São Paulo - SP",50,2,1,1,3800,648,"Churrasqueira, Varanda gourmet, Piscina, Quadra poliesportiva",Apartamento,Rua Coronel Domingos Ferreira,Ipiranga,São Paulo,SP,-23.5892726,-46.6061621
192,2718867637,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-74m2-aluguel-RS7812-id-2718867637/,"Apartamento com 2 Quartos para Aluguel, 74m²",renting,"Rua Ubiracica, 730 - Pinheiros, São Paulo - SP",74,2,2,1,7812,1926,,Apartamento,Rua Ubiracica,Pinheiros,São Paulo,SP,-23.5672842,-46.701939
193,2735211990,27-09-2024,https://www.vivareal.com.br/imovel/casa-2-quartos-moema-zona-sul-sao-paulo-com-garagem-270m2-venda-RS5830000-id-2735211990/,Casa com 2 Quartos para Venda/Aluguel 270m²,renting,"Avenida Miruna, 286 - Moema, São Paulo - SP",270,2,3,3,25000,0,Quintal,Casa,Avenida Miruna,Moema,São Paulo,SP,-23.597085,-46.6628884
194,2713531018,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-penha-de-franca-zona-leste-sao-paulo-com-garagem-125m2-venda-RS636000-id-2713531018/,Apartamento com 3 Quartos para Venda/Aluguel 125m²,renting,"Rua Rodovalho Junior - Penha De Franca, São Paulo - SP",125,3,2,1,2000,1450,"Cozinha, Elevador, Lavanderia, Piscina",Apartamento,Rua Rodovalho Junior,Penha De Franca,São Paulo,SP,-23.523683,-46.5437815
