id,link,operation,size,dorms,toilets,garage,price,additional_costs,scraping_date,type,street,neighborhood,city,latitude,longitude
2792206610,https://www.vivareal.com.br/imovel/sala-comercial-vila-marieta-sao-paulo-50m2-aluguel-RS2200-id-2792206610/,renting,50,0,1,0,2200,161,2025-04-01,Sala/Conjunto,Avenida São Miguel,Vila Marieta,São Paulo,-23.5148713,-46.5200703
2792200731,https://www.vivareal.com.br/imovel/ponto-comercial-jardim-monjolo-sao-paulo-70m2-aluguel-RS2000-id-2792200731/,renting,70,0,1,0,2000,100,2025-04-01,Ponto comercial/Loja/Box,0,Jardim Monjolo,São Paulo,-23.585668,-46.609589
2790874785,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-paulista-sao-paulo-com-garagem-45m2-aluguel-RS4800-id-2790874785/,renting,45,1,1,1,4800,719,2025-04-01,Apartamento,Rua Castilho,Brooklin Paulista,São Paulo,-23.412202,-46.825977
2792255061,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lauzane-paulista-sao-paulo-com-garagem-94m2-aluguel-RS3500-id-2792255061/,renting,94,3,3,3,3500,1640,2025-04-01,Apartamento,Rua Plínio Colas,Lauzane Paulista,São Paulo,-23.4795395,-46.6418183
2792031814,https://www.vivareal.com.br/imovel/sala-comercial-penha-de-franca-sao-paulo-com-garagem-30m2-aluguel-RS2000-id-2792031814/,renting,30,0,1,1,2000,684,2025-04-01,Sala/Conjunto,0,Penha de França,São Paulo,-23.523683,-46.5437815
2791850146,https://www.vivareal.com.br/imovel/apartamento-2-quartos-perdizes-sao-paulo-com-garagem-85m2-aluguel-RS8500-id-2791850146/,renting,85,2,3,2,8500,1237,2025-04-01,Apartamento,Rua Minerva,Perdizes,São Paulo,-23.5361426,-46.6744665
0,0,renting,1050,0,10,8,35100,6680,2025-04-01,Imóvel comercial,Avenida Queiroz Filho,Vila Hamburguesa,São Paulo,-23.5406719,-46.728734
2791876825,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saude-sao-paulo-com-garagem-80m2-aluguel-RS2350-id-2791876825/,renting,80,3,2,2,2350,1075,2025-04-01,Apartamento,Rua Abagiba,Saúde,São Paulo,-23.619797,-46.607257
2792043246,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-suzana-sao-paulo-com-garagem-64m2-aluguel-RS2900-id-2792043246/,renting,64,2,1,1,2900,565,2025-04-01,Apartamento,Rua Doutor Laerte Setúbal,Vila Suzana,São Paulo,-23.618227,-46.730849
0,0,renting,120,0,3,1,4150,700,2025-04-01,Sala/Conjunto,Rua Coronel Botelho,Bela Aliança,São Paulo,-23.5229309,-46.7265644
