id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,scraping_date
2792069066,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-vertentes-sao-paulo-75m2-aluguel-RS3000-id-2792069066/,Apartamento para alugar ,renting,"Avenida Albert Bartholome - Jardim das Vertentes, São Paulo",75 m²,2,2,,R$ 3.000/mês,Cond. R$ 550 • IPTU R$ 210,2025-04-01
2792202064,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-siqueira-zona-norte-sao-paulo-com-garagem-40m2-aluguel-RS1350-id-2792202064/,Casa para alugar ,renting," - Vila Siqueira (Zona Norte), São Paulo",40 m²,1,1,1,R$ 1.350/mês,,2025-04-01
2792143820,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-siqueira-zona-norte-sao-paulo-com-garagem-40m2-venda-RS360000-id-2792143820/,Apartamento para alugar ,renting,"Avenida Sebastião Henriques - Vila Siqueira (Zona Norte), São Paulo",40 m²,2,1,1,R$ 2.120/mês,Cond. R$ 450,2025-04-01
2792167121,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-moraes-sao-paulo-49m2-aluguel-RS1700-id-2792167121/,Apartamento para alugar ,renting,"Rua Angaturama - Vila Moraes, São Paulo",49 m²,2,1,,R$ 1.700/mês,Cond. R$ 400,2025-04-01
,,Apartamento para alugar ,renting,"Rua Bela Vista - Santo Amaro, São Paulo",137 m²,3,3,2,R$ 13.800/mês,Cond. R$ 1.307 • IPTU R$ 1.074,2025-04-01
2792184832,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ema-sao-paulo-40m2-aluguel-RS2200-id-2792184832/,Apartamento para alugar ,renting,"Avenida Vila Ema - Vila Ema, São Paulo",40 m²,2,1,,R$ 2.200/mês,Cond. R$ 289,2025-04-01
2791812517,https://www.vivareal.com.br/imovel/apartamento-2-quartos-quarta-parada-sao-paulo-com-garagem-66m2-aluguel-RS2950-id-2791812517/,Apartamento para alugar ,renting,"Rua João Soares - Quarta Parada, São Paulo",66 m²,2,1,1,R$ 2.950/mês,Cond. R$ 880 • IPTU R$ 215,2025-04-01
2791707339,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-58m2-aluguel-RS2300-id-2791707339/,Apartamento para alugar ,renting,"Rua Doutor João Vieira Neves - Jardim Esmeralda, São Paulo",58 m²,2,2,1,R$ 2.300/mês,Cond. R$ 580 • IPTU R$ 24,2025-04-01
2792073917,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-60m2-aluguel-RS3200-id-2792073917/,Apartamento para alugar ,renting,"Avenida Engenheiro Heitor Antônio Eiras Garcia - Jardim Esmeralda, São Paulo",60 m²,2,1,1,R$ 3.200/mês,Cond. R$ 599 • IPTU R$ 219,2025-04-01
2792069872,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-60m2-aluguel-RS3300-id-2792069872/,Apartamento para alugar ,renting,"Avenida Engenheiro Heitor Antônio Eiras Garcia - Jardim Esmeralda, São Paulo",60 m²,2,1,1,R$ 3.300/mês,Cond. R$ 601 • IPTU R$ 219,2025-04-01
2792127416,https://www.vivareal.com.br/imovel/kitnet-1-quartos-jaguare-sao-paulo-com-garagem-20m2-aluguel-RS1300-id-2792127416/,Apartamento para alugar ,renting,"Rua Francisco Pedro do Amaral - Jaguaré, São Paulo",20 m²,1,1,1,R$ 1.300/mês,,2025-04-01
,,Imóvel comercial para alugar ,renting,"Rua Doutor Diogo de Faria - Vila Clementino, São Paulo",300 m²,1,5,,R$ 30.100/mês,IPTU R$ 2.385,2025-04-01
2792206610,https://www.vivareal.com.br/imovel/sala-comercial-vila-marieta-sao-paulo-50m2-aluguel-RS2200-id-2792206610/,Sala/Conjunto para alugar ,renting,"Avenida São Miguel - Vila Marieta, São Paulo",50 m²,,1,,R$ 2.200/mês,IPTU R$ 161,2025-04-01
2792200731,https://www.vivareal.com.br/imovel/ponto-comercial-jardim-monjolo-sao-paulo-70m2-aluguel-RS2000-id-2792200731/,Ponto comercial/Loja/Box para alugar ,renting," - Jardim Monjolo, São Paulo",70 m²,,1,,R$ 2.000/mês,IPTU R$ 100,2025-04-01
2790874785,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-paulista-sao-paulo-com-garagem-45m2-aluguel-RS4800-id-2790874785/,Apartamento para alugar ,renting,"Rua Castilho - Brooklin Paulista, São Paulo",45 m²,1,1,1,R$ 4.800/mês,Cond. R$ 662 • IPTU R$ 57,2025-04-01
2792255061,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lauzane-paulista-sao-paulo-com-garagem-94m2-aluguel-RS3500-id-2792255061/,Apartamento para alugar ,renting,"Rua Plínio Colas - Lauzane Paulista, São Paulo",94 m²,3,3,3,R$ 3.500/mês,Cond. R$ 1.250 • IPTU R$ 390,2025-04-01
2792031814,https://www.vivareal.com.br/imovel/sala-comercial-penha-de-franca-sao-paulo-com-garagem-30m2-aluguel-RS2000-id-2792031814/,Sala/Conjunto para alugar ,renting," - Penha de França, São Paulo",30 m²,,1,1,R$ 2.000/mês,Cond. R$ 443 • IPTU R$ 241,2025-04-01
2791850146,https://www.vivareal.com.br/imovel/apartamento-2-quartos-perdizes-sao-paulo-com-garagem-85m2-aluguel-RS8500-id-2791850146/,Apartamento para alugar ,renting,"Rua Minerva - Perdizes, São Paulo",85 m²,2,3,2,R$ 8.500/mês,Cond. R$ 998 • IPTU R$ 239,2025-04-01
,,Imóvel comercial para alugar ,renting,"Avenida Queiroz Filho - Vila Hamburguesa, São Paulo",1050 m²,,10,8,R$ 35.100/mês,IPTU R$ 6.680,2025-04-01
2791876825,https://www.vivareal.com.br/imovel/apartamento-3-quartos-saude-sao-paulo-com-garagem-80m2-aluguel-RS2350-id-2791876825/,Apartamento para alugar ,renting,"Rua Abagiba - Saúde, São Paulo",80 m²,3,2,2,R$ 2.350/mês,Cond. R$ 1.000 • IPTU R$ 75,2025-04-01
2792043246,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-suzana-sao-paulo-com-garagem-64m2-aluguel-RS2900-id-2792043246/,Apartamento para alugar ,renting,"Rua Doutor Laerte Setúbal - Vila Suzana, São Paulo",64 m²,2,1,1,R$ 2.900/mês,Cond. R$ 550 • IPTU R$ 15,2025-04-01
,,Sala/Conjunto para alugar ,renting,"Rua Coronel Botelho - Bela Aliança, São Paulo",120 m²,,3,1,R$ 4.150/mês,IPTU R$ 700,2025-04-01
,,Prédio/Edificio inteiro para alugar ,renting,"Rua Líbero Badaró - Centro, São Paulo",2082 m²,,10,,R$ 50.100/mês,IPTU R$ 4.637,2025-04-01
2792286127,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jabaquara-sao-paulo-com-garagem-65m2-aluguel-RS2000-id-2792286127/,Apartamento para alugar ,renting,"Avenida Doutor Luís Rocha Miranda - Jabaquara, São Paulo",65 m²,2,1,1,R$ 2.000/mês,Cond. R$ 586 • IPTU R$ 1,2025-04-01
2792181318,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-clarice-sao-paulo-57m2-aluguel-RS1900-id-2792181318/,Apartamento para alugar ,renting,"Avenida Inácia de Toledo - Vila Clarice, São Paulo",57 m²,2,1,,R$ 1.900/mês,Cond. R$ 50,2025-04-01
2792070684,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-60m2-aluguel-RS3300-id-2792070684/,Apartamento para alugar ,renting,"Avenida Engenheiro Heitor Antônio Eiras Garcia - Jardim Esmeralda, São Paulo",60 m²,2,1,1,R$ 3.300/mês,Cond. R$ 601 • IPTU R$ 219,2025-04-01
,,Ponto comercial/Loja/Box para alugar ,renting,"Rua Caquito - Vila São Geraldo, São Paulo",350 m²,,2,,R$ 4.700/mês,IPTU R$ 480,2025-04-01
2792159917,https://www.vivareal.com.br/imovel/apartamento-1-quartos-consolacao-sao-paulo-com-garagem-40m2-aluguel-RS2250-id-2792159917/,Apartamento para alugar ,renting,"Rua Bela Cintra - Consolação, São Paulo",40 m²,1,1,1,R$ 2.250/mês,Cond. R$ 976 • IPTU R$ 86,2025-04-01
2792071257,https://www.vivareal.com.br/imovel/sobrado-2-quartos-parque-ipe-sao-paulo-com-garagem-120m2-aluguel-RS2800-id-2792071257/,Casa para alugar ,renting,"Rua Mário Ancona - Parque Ipê, São Paulo",120 m²,2,3,1,R$ 2.800/mês,,2025-04-01
2792123455,https://www.vivareal.com.br/imovel/apartamento-1-quartos-agua-branca-sao-paulo-26m2-aluguel-RS2400-id-2792123455/,Apartamento para alugar ,renting,"Rua Mateo Forte - Água Branca, São Paulo",26 m²,1,1,,R$ 2.400/mês,Cond. R$ 258 • IPTU R$ 14,2025-04-01
2792317843,https://www.vivareal.com.br/imovel/apartamento-2-quartos-luz-sao-paulo-60m2-aluguel-RS1800-id-2792317843/,Apartamento para alugar ,renting,"Rua Doutor Pedro Arbues - Luz, São Paulo",60 m²,2,1,,R$ 1.800/mês,Cond. R$ 160,2025-04-01
,,Imóvel comercial para alugar ,renting,"Rua Corredeira - Bosque da Saúde, São Paulo",984 m²,,8,12,R$ 35.100/mês,IPTU R$ 4.340,2025-04-01
2791857614,https://www.vivareal.com.br/imovel/casa-de-condominio-2-quartos-vila-paiva-sao-paulo-42m2-aluguel-RS1700-id-2791857614/,Casa de condomínio para alugar ,renting,"Rua Caçador - Vila Paiva, São Paulo",42 m²,2,1,,R$ 1.700/mês,Cond. R$ 163 • IPTU R$ 120,2025-04-01
2792127570,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-prudente-sao-paulo-35m2-aluguel-RS1500-id-2792127570/,Apartamento para alugar ,renting,"Rua Capitão Pacheco e Chaves - Vila Prudente, São Paulo",35 m²,1,1,,R$ 1.500/mês,,2025-04-01
2791869934,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-sao-paulo-25m2-aluguel-RS3200-id-2791869934/,Apartamento para alugar ,renting,"Rua Doutor Penaforte Mendes - Bela Vista, São Paulo",25 m²,1,1,,R$ 3.200/mês,Cond. R$ 300 • IPTU R$ 91,2025-04-01
2791114622,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-62m2-aluguel-RS5950-id-2791114622/,Apartamento para alugar ,renting,"Rua Constantino de Sousa - Campo Belo, São Paulo",62 m²,1,2,1,R$ 5.950/mês,Cond. R$ 986 • IPTU R$ 175,2025-04-01
