id,link,operation,size,dorms,toilets,garage,price,additional_costs,type,street,neighborhood,city,latitude,longitude
2791376015,https://www.vivareal.com.br/imovel/casa-3-quartos-vila-firmiano-pinto-sao-paulo-com-garagem-328m2-aluguel-RS7000-id-2791376015/,renting,328,3,4,3,7000,798,Casa,Rua Francisca Emília,Vila Firmiano Pinto,São Paulo,0.0,0.0
2780854056,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-215m2-aluguel-RS26875-id-2780854056/,renting,215,0,5,5,26875,5742,Sala/Conjunto,Rua Gomes de Carvalho,Vila Olímpia,São Paulo,0.0,0.0
2784343322,https://www.vivareal.com.br/imovel/sala-comercial-jardim-paulista-sao-paulo-com-garagem-75m2-aluguel-RS5700-id-2784343322/,renting,75,0,2,2,5700,3866,Sala/Conjunto,Avenida Nove de Julho,Jardim Paulista,São Paulo,0.0,0.0
2788025515,https://www.vivareal.com.br/imovel/flat-1-quartos-vila-olimpia-sao-paulo-com-garagem-34m2-aluguel-RS2650-id-2788025515/,renting,34,1,1,1,2650,1350,Flat,Rua Gomes de Carvalho,Vila Olímpia,São Paulo,0.0,0.0
2790694444,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-moncoes-sao-paulo-com-garagem-82m2-aluguel-RS8399-id-2790694444/,renting,82,2,2,1,8399,1275,Apartamento,Rua George Ohm,Cidade Monções,São Paulo,0.0,0.0
2787315061,https://www.vivareal.com.br/imovel/sala-comercial-campo-belo-sao-paulo-com-garagem-180m2-aluguel-RS11000-id-2787315061/,renting,180,0,4,4,11000,4190,Sala/Conjunto,Rua Vieira de Morais,Campo Belo,São Paulo,0.0,0.0
2789354009,https://www.vivareal.com.br/imovel/imovel-comercial-1-quartos-mirandopolis-sao-paulo-90m2-aluguel-RS5000-id-2789354009/,renting,90,1,1,0,5000,668,Imóvel comercial,Rua Joaquim de Almeida,Mirandópolis,São Paulo,0.0,0.0
2775798103,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-193m2-aluguel-RS23250-id-2775798103/,renting,193,0,4,4,23250,56105610,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,0.0,0.0
2776899539,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-regente-feijo-sao-paulo-com-garagem-154m2-venda-RS1300000-id-2776899539/,renting,154,3,5,3,5500,3500,Apartamento,Rua Marechal Barbacena,Vila Regente Feijó,São Paulo,0.0,0.0
2792322122,https://www.vivareal.com.br/imovel/sobrado-4-quartos-parque-vitoria-sao-paulo-180m2-aluguel-RS4700-id-2792322122/,renting,180,4,2,0,4700,239,Casa,Rua Murilo Furtado,Parque Vitória,São Paulo,0.0,0.0
2791284415,https://www.vivareal.com.br/imovel/ponto-comercial-republica-sao-paulo-90m2-aluguel-RS5000-id-2791284415/,renting,90,0,1,0,5000,574,Ponto comercial/Loja/Box,Rua Dom José de Barros,República,São Paulo,0.0,0.0
2791685418,https://www.vivareal.com.br/imovel/sala-comercial-pinheiros-sao-paulo-com-garagem-120m2-aluguel-RS7200-id-2791685418/,renting,120,0,4,2,7200,3448,Sala/Conjunto,Rua Cardeal Arcoverde,Pinheiros,São Paulo,0.0,0.0
0,0,renting,25,1,1,0,3820,380,Flat,Rua Doutor Nicolau de Sousa Queirós,Vila Mariana,São Paulo,0.0,0.0
2788024515,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-com-garagem-42m2-aluguel-RS2520-id-2788024515/,renting,42,1,1,1,2520,1680,Flat,Avenida Brigadeiro Luís Antônio,Jardim Paulista,São Paulo,0.0,0.0
2789202017,https://www.vivareal.com.br/imovel/sala-comercial-quarta-parada-sao-paulo-103m2-aluguel-RS9000-id-2789202017/,renting,103,0,1,0,9000,500,Sala/Conjunto,Rua Padre Adelino,Quarta Parada,São Paulo,0.0,0.0
