id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs
2789715531,https://www.vivareal.com.br/imovel/apartamento-2-quartos-perdizes-sao-paulo-com-garagem-74m2-aluguel-RS4500-id-2789715531/,Apartamento para alugar ,renting,"Rua Campevas - Perdizes, São Paulo",74 m²,2,2,2,R$ 4.500/mês,Cond. R$ 1.800 • IPTU R$ 290
2777564840,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-183m2-aluguel-RS22875-id-2777564840/,Sala/Conjunto para alugar ,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",183 m²,,4,4,R$ 22.875/mês,Cond. R$ 3.473 • IPTU R$ 1.510
,,Apartamento para alugar ,renting,"Rua José Gonçalves - Vila Andrade, São Paulo",87 m²,3,3,2,R$ 2.700/mês,Cond. R$ 1.234 • IPTU R$ 300
2790535919,https://www.vivareal.com.br/imovel/apartamento-1-quartos-indianopolis-sao-paulo-com-garagem-40m2-aluguel-RS4500-id-2790535919/,Apartamento para alugar ,renting,"Avenida Açocê - Indianópolis, São Paulo",40 m²,1,1,1,R$ 4.500/mês,Cond. R$ 800 • IPTU R$ 237
,,Sala/Conjunto para alugar ,renting,"Avenida da Aclimação - Aclimação, São Paulo",68 m²,,1-2,1,R$ 7.000/mês,Cond. R$ 2.000 • IPTU R$ 533
2785954917,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-guilherme-sao-paulo-34m2-aluguel-RS1850-id-2785954917/,Apartamento para alugar ,renting,"Rua Pedra Sabão - Vila Guilherme, São Paulo",34 m²,1,1,,R$ 1.850/mês,Cond. R$ 320 • IPTU R$ 120
2775775269,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-191m2-aluguel-RS23875-id-2775775269/,Sala/Conjunto para alugar ,renting,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo",191 m²,,4,4,R$ 23.875/mês,Cond. R$ 3.910 • IPTU R$ 1.700
2791845016,https://www.vivareal.com.br/imovel/sala-comercial-vila-marieta-sao-paulo-20m2-aluguel-RS1300-id-2791845016/,Sala/Conjunto para alugar ,renting,"Avenida São Miguel - Vila Marieta, São Paulo",20 m²,,1,,R$ 1.300/mês,IPTU R$ 121
2531020512,https://www.vivareal.com.br/imovel/flat-2-quartos-jardim-paulista-sao-paulo-com-garagem-60m2-aluguel-RS5090-id-2531020512/,Flat para alugar ,renting,"Alameda Joaquim Eugênio de Lima - Jardim Paulista, São Paulo",60 m²,2,1,2,R$ 5.090/mês,Cond. R$ 1.070 • IPTU R$ 340
2788461520,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-40m2-aluguel-RS3500-id-2788461520/,Sala/Conjunto para alugar ,renting,"Rua Helena - Vila Olímpia, São Paulo",40 m²,,1,1,R$ 3.500/mês,Cond. R$ 1.503 • IPTU R$ 304
2791678937,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-mariana-sao-paulo-com-garagem-60m2-aluguel-RS3700-id-2791678937/,Apartamento para alugar ,renting,"Rua Doutor Neto de Araújo - Vila Mariana, São Paulo",60 m²,1,1,1,R$ 3.700/mês,Cond. R$ 840 • IPTU R$ 80
2756608074,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-30m2-aluguel-RS3200-id-2756608074/,Apartamento para alugar ,renting,"Rua Vieira de Morais - Campo Belo, São Paulo",30 m²,1,1,,R$ 3.200/mês,Cond. R$ 439 • IPTU R$ 53
2791838722,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791838722/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
2791838623,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791838623/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
2791769992,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santana-sao-paulo-com-garagem-68m2-aluguel-RS2200-id-2791769992/,Apartamento para alugar ,renting,"Avenida Braz Leme - Santana, São Paulo",68 m²,2,1,1,R$ 2.200/mês,Cond. R$ 500 • IPTU R$ 700
2778219667,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-com-garagem-44m2-aluguel-RS3200-id-2778219667/,Flat para alugar ,renting,"Alameda Lorena - Jardim Paulista, São Paulo",44 m²,1,1,1,R$ 3.200/mês,Cond. R$ 900 • IPTU R$ 400
2668272132,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-sao-paulo-40m2-aluguel-RS1400-id-2668272132/,Apartamento para alugar ,renting,"Rua 21 de Abril - Brás, São Paulo",40 m²,1,1,,R$ 1.400/mês,Cond. R$ 200
