id,link,operation,size,dorms,toilets,garage,price,additional_costs,type,street,neighborhood,city,latitude,longitude
0,0,renting,42,1,1,1,3750,750,Flat,Avenida Aratãs,Indianópolis,São Paulo,-23.6093336,-46.6630224
2791839019,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839019/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2791499252,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-leonor-sao-paulo-43m2-aluguel-RS1800-id-2791499252/,renting,43,2,1,0,1800,380,Apartamento,Rua Jurumirim,Vila Leonor,São Paulo,-23.499254,-46.596444
2789715531,https://www.vivareal.com.br/imovel/apartamento-2-quartos-perdizes-sao-paulo-com-garagem-74m2-aluguel-RS4500-id-2789715531/,renting,74,2,2,2,4500,2090,Apartamento,Rua Campevas,Perdizes,São Paulo,-23.5352249,-46.6744636
2777564840,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-183m2-aluguel-RS22875-id-2777564840/,renting,183,0,4,4,22875,4983,Sala/Conjunto,Rua Gomes de Carvalho,Vila Olímpia,São Paulo,-23.596004,-46.6871435
0,0,renting,87,3,3,2,2700,1534,Apartamento,Rua José Gonçalves,Vila Andrade,São Paulo,-23.6248557,-46.7392186
2790535919,https://www.vivareal.com.br/imovel/apartamento-1-quartos-indianopolis-sao-paulo-com-garagem-40m2-aluguel-RS4500-id-2790535919/,renting,40,1,1,1,4500,1037,Apartamento,Avenida Açocê,Indianópolis,São Paulo,-23.6050776,-46.654494
0,0,renting,68,0,2,1,7000,2533,Sala/Conjunto,Avenida da Aclimação,Aclimação,São Paulo,-23.5702418,-46.6327638
2785954917,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-guilherme-sao-paulo-34m2-aluguel-RS1850-id-2785954917/,renting,34,1,1,0,1850,440,Apartamento,Rua Pedra Sabão,Vila Guilherme,São Paulo,-23.5095625,-46.601701
2775775269,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-191m2-aluguel-RS23875-id-2775775269/,renting,191,0,4,4,23875,5610,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,-23.5949207,-46.6918235
2791845016,https://www.vivareal.com.br/imovel/sala-comercial-vila-marieta-sao-paulo-20m2-aluguel-RS1300-id-2791845016/,renting,20,0,1,0,1300,121,Sala/Conjunto,Avenida São Miguel,Vila Marieta,São Paulo,0.0,0.0
2531020512,https://www.vivareal.com.br/imovel/flat-2-quartos-jardim-paulista-sao-paulo-com-garagem-60m2-aluguel-RS5090-id-2531020512/,renting,60,2,1,2,5090,1410,Flat,Alameda Joaquim Eugênio de Lima,Jardim Paulista,São Paulo,-23.5661442,-46.6508323
2788461520,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-40m2-aluguel-RS3500-id-2788461520/,renting,40,0,1,1,3500,1807,Sala/Conjunto,Rua Helena,Vila Olímpia,São Paulo,-23.5931509,-46.6860701
2791678937,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-mariana-sao-paulo-com-garagem-60m2-aluguel-RS3700-id-2791678937/,renting,60,1,1,1,3700,920,Apartamento,Rua Doutor Neto de Araújo,Vila Mariana,São Paulo,-23.5872651,-46.6327947
2756608074,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-30m2-aluguel-RS3200-id-2756608074/,renting,30,1,1,0,3200,492,Apartamento,Rua Vieira de Morais,Campo Belo,São Paulo,-23.6184609,-46.6763968
2791838722,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791838722/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2791838623,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791838623/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2791769992,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santana-sao-paulo-com-garagem-68m2-aluguel-RS2200-id-2791769992/,renting,68,2,1,1,2200,1200,Apartamento,Avenida Braz Leme,Santana,São Paulo,-23.5041931,-46.6270226
2778219667,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-com-garagem-44m2-aluguel-RS3200-id-2778219667/,renting,44,1,1,1,3200,1300,Flat,Alameda Lorena,Jardim Paulista,São Paulo,-23.5636595,-46.6661508
2668272132,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-sao-paulo-40m2-aluguel-RS1400-id-2668272132/,renting,40,1,1,0,1400,200,Apartamento,Rua 21 de Abril,Brás,São Paulo,-23.5425788,-46.6070898
2791839217,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839217/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2775796839,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-162m2-aluguel-RS21060-id-2775796839/,renting,162,0,4,4,21060,5610,Sala/Conjunto,Rua Gomes de Carvalho,Vila Olímpia,São Paulo,-23.596004,-46.6871435
0,0,renting,58,1,2,1,3500,1375,Apartamento,Rua Vieira de Morais,Campo Belo,São Paulo,-23.6184609,-46.6763968
